IncidentNum,incident_type,vic_type,mo,weapon_used,gang_related
264946-2018,FORGERY GOVT/NATIONAL INST/MONEY/SECURITY,Government,AP WAS IN POSSECION OF COUNTERFIT CURRENCY,,
259953-2018,PUBLIC INTOXICATION,Government,A/P WAS INTOXICATED IN PUBLIC,,
222957-2018,OBSTRUCTION OR RETALIATION,Government,THE AP MADE MULTIPLE THREATS TO SHOOT AND KILL AO'S.,,
052458-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSPECT TOOK LISTED VEH WITHOUT CONSENT,,
164897-2021,POSS CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,Society/Public,SUSPECT WAS IN POSSESTION OF A SUBSTANCE BELIEVED TO BE METH,,
113611-2021,RESIST ARREST SEARCH OR TRANSPORT,Society/Public,SUSP RESISTED BEING TRANSPORTED AFTER BEING ARRESTED.,,
216537-2018,EVADING ARREST DETENTION,Government,AP FLED ON FOOT FROM AOS,,
190481-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNK SUSP TOOK COMPS VEHICLE WITHOUT CONSENT,,
043591-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,SUSPECT TOOK VEHICLE WITHOUT THE EFFECTIVE CONSENT OF THE COMP,,
077185-2018,TRAFFIC VIOLATION - NON HAZARDOUS,Government,AP'S VEHICLE HAD EXPIRED REG AND NO INSURANCE,,
051666-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK VEHICLE W/O CONSENT,,
131626-2018,UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,Individual,UNK SUSP STOLE COMPS VEHICLE BY UNK MEANS. NFI.,,
218983-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNKNOWN SUSPECT TOOK COMPS VEHICLE WITHOUT PERMISSION,,
201862-2018,RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),Government,RECOVERED OUT OF TOWN STOLEN,,
240662-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMPS VEH W/O PERMISSION.,,
172955-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNK SUSP TOOK COMP'S VEH W/O PERMISSION,,
124383-2018,MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,Society/Public,,,
121861-2018,EVADING ARREST DETENTION,Government,AP EVADED ARREST ON FOOT.,,
179170-2018,BMV,Individual,UNK SUSP ENTERED COMP'S W/O CONSENT VEHICLE TO TAKE PROPERTY.,,
223170-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Government,RECOVERED OUT OF TOWN STOLEN,,
051878-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,AP ENTER AND OPERATED COMP VEHICLE WITHOUT PERMISSION.  NFI.,,
193423-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,AP HAD A SMALL ROCK LIKE SUBSTANCE ON HIS PERSON.,,
247112-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Government,A/P  TOOK VEHICLE WITHOUT PERMISSION.,,
075073-2019,OTHER OFFENSE - MISDEMEANOR,Government,POSSESSION OF DRUG PARAPHERNALIA,,
076933-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,AP TOOK COMPS VEHICLE WITH OUT CONSENT.,,
093459-2021,PUBLIC INTOXICATION,Society/Public,A/P WAS INTOXICATED WHILE IN PUBLIC.,,
164745-2018,MAN DEL CONT SUB PEN GRP 1 <1G *DRUG FREE ZONE*,Society/Public,AP WAS IN POSSESSION OF DRUGS WITH INTENT TO DELIVER,,
052665-2018,EVADING ARREST DETENTION W/VEHICLE PC38.04(b)(2)(A),Society/Public,AP ELUDED AO'S ATTEMPT TO CONDUCT A LAWFUL TRAFFIC STOP,,
121133-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,AP WAS IN POSSESSION OF METHAMPHETAMINES.,,
123946-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Government,AP WAS ARRESTED FOR DRIVING A STOLEN VEHICLE,,
092363-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,SUSPECT WAS OBSERVED DRIVING CONFIRMED STOLEN VEHICLE.,,
256790-2018,"EVADING ARREST DET W/VEH/WTRCFT W/PREV CONV OR SBI PC38.04(b2A,B)",Individual,AP EVADED ARRESTED OFFICERS ON FOOT,,
148831-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMP'S VEHICLE WITHOUT COMP'S CONSENT,,
198331-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNK SUSP TOOK COMP'S VEHICLE WITHOUT CONSENT,,
130449-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNKNOWN SUSPECT STOLE COMP VEHICLE WITHOUT COMPS PERMISSION,,
172453-2018,POSS MARIJUANA <2OZ,Society/Public,SEARCH INCIDENT TO ARREST ARRESTED PERSON WAS IN POSS OF MARIJUAN,,
102649-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Business,UNKNOWN SUSP TOOK COMPS VEHICLE,,
023568-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UUMV COMP LEFT KEYS IN IGNITION KNOWN SUSP,Other,No
156526-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMP'S VEHICLE,,
216537-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,AP TOOK COMP'S VEH WITHOUT CONSENT,,
247112-2018,POSS MARIJUANA <2OZ,Society/Public,AP WAS IN POSSESION OF MARIJUANA,,
161885-2018,EVADING ARREST DETENTION W/PREV CONVICTION PC38.04(b1),Society/Public,AP EVADING ARREST ON FOOT/WITH PREVIOUS CONVICTION.,,
108205-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,SUSP(S) TOOK COMP'S VEHICLE W/O CONSENT,,
267141-2018,PUBLIC INTOXICATION,Government,AP WAS ARRESTED FOR PUBLIC INTOXICATION.,,
227544-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,A/P WAS IN POSSESION OF COMPS VEHICLE WITHOUT PERMISSION,,
148831-2018,POSS CONT SUB PEN GRP 1 > OR EQUAL 1G<4G,Society/Public,AP WAS IN POSSESSION OF A CONTROLLED SUBSTANCE,,
121644-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNKNOWN SUSPECT TOOK COMP'S VEHICLE WITHOUT PERMISSION.,,
102373-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,SUSPECT TOOK COMP'S VEHICLE WITH OUT PERMISSION.,,
146766-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,STOLEN VEHICLE RECOVERED,,
111547-2016,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED ON ALCOHOL.,Other,No
177510-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED IN A PUBLIC STREET.,,
263684-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNK SUSP TOOK COMPS VEHICLE WITHOUT CONSENT,,
072775-2018,PUBLIC INTOXICATION,Society/Public,AP WAS FOUND INTOXICATED IN A PUBLIC PLACE.,,
213761-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Business,AP OPERATED THE COMP'S VEHICLE W/O CONSENT.,,
121861-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMPS VEHICLE WITHOUT PERMISSION,,
042986-2018,EVADING ARREST DETENTION,Society/Public,ARRESTEE FLED FROM OFFICERS ON FOOT AS THEY ATTEMPTED TO ARREST,,
215215-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,SUSP TOOK COMPS PROP W/O CONSENT,,
276494-2018,TRAFFIC VIOLATION - NON HAZARDOUS,Government,A/P WAS ARRESTED FOR EXPRIRED REGISTRATION,,
114560-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,AP TOOK COMPS VEHICLE WITHOUT PERMISSION.,,
097437-2018,EVADING ARREST DETENTION,Government,AP FLED FROM AOS ON FOOT AFTER BEING TOLD TO STOP,,
260583-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMP'S VEHICLE W/O CONSENT,,
273740-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,AP TOOK COMP VEH WITHOUT CONSENT,,
267748-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,SUSP TOOK COMPS VEHICLE W/O PERMISSION,,
109657-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,AP ENTERED COMPS VEH AND DROVE AWAY W/O PERMISSION,,
248301-2016,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Individual,A/P ATTEMPTED TO TAKE COMP'S VEHICLE WITHOUT PERMISSION,Other,No
214630-2018,POSS MARIJUANA <2OZ,Society/Public,A/P WAS FOUND TO BE IN POSSESSION OF 0.3 GRAMS OF MARIJUANA,,
135897-2019,CRIMINAL TRESPASS WARNING,Business,CT WARNING,,
000484-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,,UNKNOWN SUSPECT DROVE OFF IN COMP'S VEHICLE WITHOUT CONSENT,Other,No
012738-2017,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,,SUSPECT TOOK COMPS VEHICLE WITHOUT CONSENT.,Omission/Neglect,No
257837-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Government,A/P TAKE THE COMP VEHICLE W/O PERMISSION.,,
251401-2018,"THEFT OF SERVICE > OR EQUAL $2,500 <$30K PC31.04(e4)",Business,SUSPECT FAILED TO RETURN THE VEHICLE UPON DEMAND,,
204443-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNKNOWN SUSPECT TOOK COMPS VEHICLE,,
213761-2018,BURGLARY OF BUILDING - FORCED ENTRY,Business,AP'S ENTERED PROPERTY AND INTENDED TO REMOVE PROPERTY W/O,,
126093-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,COMP STATED THAT UNKNOWN SUSP TOOK VEHICLE WITHOUT CONSENT.,,
276260-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,SUSP TOOK COMP'S KEYS AND VEH WHILE COMP ASLEEP,,
208081-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMP'S VEHICLE W/O CONSENT.,,
108463-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNK SUSP TOOK COMP'S VEHICLE WITHOUT CONSENT,,
254226-2018,POSS MARIJUANA <2OZ,Society/Public,AP WAS IN POSSESSION OF <2GRAMS OF MARIJUANA,,
238705-2018,UNLAWFUL CARRYING WEAPON,Society/Public,AP WAS IN POSSESSION OF A FIREARM AS THE PASSENGER OF A VEH,Handgun,
251028-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP USED UNK MEANS TO TAKE THE COMP'S VEHICLE,,
221349-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,AP TOOK COMP'S VEHICLE WITHOUT CONSENT,,
201960-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,TOOK COMP'S VEHICLE WITHOUT CONSENT,,
130315-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMP'S VEHICLE W/O CONSENT.,,
241287-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNKN SUSP TOOK COMPS VEH W/O CONSENT,,
263592-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,,
002472-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,A/P TOOK COMP'S VEHICLE W/O CONSENT.,Other,No
043591-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,SUSPECT TOOK VEHICLE WITHOUT THE EFFECTIVE CONSENT OF THE COMP,,
119052-2018,EVADING ARREST DETENTION,Government,AP RAN FROM OFFICERS ON FOOT.,,
004112-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Business,UNK SUSP TOOK VEHICLE WITHOUT PERMISSION,Other,No
261804-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,SUSPECT WAS IN POSSESSION OF METHAMPHETAMINE,,
202075-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Government,SUSP TOOK AND DROVE CAR W/O OWNERS CONSENT,,
154991-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,SUSPECT TOOK VICTIMS VEHICLE WITHOUT CONSENT,,
112478-2018,TRAF VIO -OPERATE MOTOR VEH W/O FIN RESP,Society/Public,AP DID NOT HAVE FINANCIAL RESPONSIBILITY,,
275027-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,SUSPECT TOOK COMP VEHICLE WITHOUT PERMISSION,,
054814-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNKNOWN SUSP TOOK COMP'S VEH W/OUT PERMISSION,,
107097-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNKNOWN SUSPECT TOOK COMP VEHICLE WITHOUT CONSENT,,
124383-2018,POSS CONT SUB PEN GRP 1 > OR EQUAL 1G<4G,Society/Public,,,
174509-2016,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Business,THE A/P WAS ARRESTED FOR UUMV,,
027156-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Business,UNK SUSP TOOK COMPS VEHICLE WITHOUT PERMISSION.,Other,No
179141-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNK SUSP TOOK COMP'S VEHICLE WITHOUT CONSENT.,,
216841-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,A/P ARRESTED FOR UUMV AND POSS OF METH,,
170101-2018,CREDIT CARD OR DEBIT CARD ABUSE,Individual,AP USED COMP'S CREDIT/DEBT CARD WITHOUT PERMISSION,,
077185-2018,FAIL TO ID -GIVING FALSE/FICTITIOUS INFO PC 38.02(c)(2),Government,AP GAVE FALSE AND FICTITIOUS NAMES AND DATES OF BIRTH,,
161511-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,AP STOLE COMP'S VEHICLE WITHOUT HIS PERMISSION,,
276897-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMPS VEHICLE W/O PERMISSION,,
215215-2018,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Individual,SUSP TOOK COMPS PROP W/O CONSENT,,
121745-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,,,
249557-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSPECT TOOK COMPS VEHICLE W/OUT CONSENT,,
042188-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Government,SUSPECT DROVE OFF IN US MAIL TRUCK WITHOUT PERMISSION.,,
229112-2018,PUBLIC INTOXICATION,Government,AP WAS PUBLICALLY INTOXICATED AND ARREST AT STATE FAIR,,
004413-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,AP TOOK COMPS CAR WITHOUT PERMISSION,Other,No
096898-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMP'S VEHICLE W/OUT PERMISSION,,
118821-2018,RECKLESS DAMAGE,Individual,AP RECKLESSLY CRASHED INTO COMP'S VEH CASUING DAMAGE,,
083231-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNKNOWN SUSP TOOK THE COMPS VEHICLE WITHOUT PERMISSION,,
169481-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNKNOWN SUSPECT TOOK COMPS VEH WITHOUT PERMISSION,,
241571-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMP'S VEH WITHOUT PERMISSION,,
095189-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,OPERATED THE VICTIMS VEHICLE WITHOUT AUTHORIZATION,,
246868-2018,POSS MARIJUANA <2OZ,Society/Public,SUSP WAS FOUND TO BE IN POSSESSION OF MARIJUANA,,
144619-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,SUSPECT ENTERED AND TOOK THE COMP VEHICLE W/O CONSENT. NFI,,
118821-2018,RECKLESS DAMAGE,Individual,AP RECKLESSLY CRASHED INTO COMP'S VEH CASUING DAMAGE,,
269276-2018,DWI,Society/Public,AP WAS FOUND UNDER THE INFLUENCE WHILE OPERATING A MOTOR VEHICLE.,,
136752-2018,UNLAWFUL CARRYING WEAPON,Society/Public,AP WAS UNLAWFULLY CARRYING A WEAPON.,Handgun,
109086-2018,UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,Individual,UNK SUSP TOOK LISTED VEHICLE WITHOUT PERMISSION,,
239459-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMPS VEHICLE WITHOUT PERMISSION,,
012501-2018,PUBLIC INTOXICATION,Government,"COMP HAD BLOOD SHOT EYES, BLURRED SPEECH, BREATH SMELLED OF ALCOH",Handgun,No
167526-2018,UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,Individual,UNK SUSP TOOK COMP'S VEH WITHOUT CONSENT,,
121133-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Business,UNKNOWN SUSPECTS STOLE LISTED VEHICLES FROM COMPLAINANT.,,
254226-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Government,AP TOOK VEH W/O PERMISSION,,
085955-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,THE SUSP STOLE THE COMP'S PARKED VEHICLE.,,
224815-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,COMPL STATED UNK SUSPECT TOOK PROPERTY W/O CONSENT,,
085955-2018,POSS CONT SUB PEN GRP 3 < 28G,Society/Public,AP WAS IN POSSESSION OF ALPRAZOLAM,,
243699-2018,POSS MARIJUANA <2OZ,Government,POSS MARIJUANA,,
239688-2018,PUBLIC INTOXICATION: MINOR 3RD ENH,Government,AP WAS INTOXICATED IN PUBLIC,,
051951-2018,POSS MARIJUANA <2OZ,Society/Public,POSS OF MARIJUANA,,
263891-2018,POSS CONT SUB PEN GRP 1 <1G,Government,AP POSSESSED METH,,
193143-2018,PUBLIC INTOXICATION,Society/Public,"AP WAS DISORIENTED, SLOW, AND LETHARGIC.",,
152467-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMP'S VEH W/O CONSENT,,
077185-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,AP WAS IN POSSESION OF COCAINE,,
021505-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNK SUSP TOOK COMPS VEHICLE WITHOUT CONSENT,Other,No
051666-2018,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",Individual,A/P WAS OPERATING STOLEN VEHICLE,,
239500-2018,"THEFT OF PROP > OR EQUAL $2,500 <$30K ENH (NOT SHOPLIFT) PC31.03(f)",Government,AP KNOWINGLY TOOK PROPERTY FROM COMP WITHOUT CONSENT,,
042986-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,ARRESTEE JUMPED INTO VICTIM'S VEHICLE AND DROVE OFF W/OUT CONSENT,,
241571-2018,POSS OF DANGEROUS DRUG,Society/Public,SUSP WAS IN POSSESSION OF A CONTROLLED SUBSTANCE,,
092613-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,AP HAD COCAINE ON HIS PERSON,,
108463-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNK SUSP TOOK COMP'S VEHICLE WITHOUT CONSENT,,
162501-2018,POSS MARIJUANA >2OZ< OR EQUAL 4OZ,Society/Public,AP WAS IN POSSESSION OF 56.2 GRAMS OF MARIJUANA.,,
224285-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,KNOWN SUSPECT TOOK COMPS VEHICLE W/OUT CONSENT,,
256790-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Government,UNK SUSP TOOK COMP'S VEHICLE FROM THE APARTMENT PARKING LOT,,
185143-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMPS VEHICLE WITH OUT PERMISSION,,
006038-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,,SUSP TOOK COMPS VEHICLE WITHOUT PERMISSION,Other,No
154991-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,SUSPECT WAS FOUND IN POSS. OF A CONTROLLED SUBSTANCE,,
193423-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Government,SUSP WAS IN,,
121732-2018,CRIMINAL TRESPASS,Business,AP'S WERE CAUGHT SLEEPING IN A VACANT APARTMENT UNIT.,,
118821-2018,RECKLESS DAMAGE,Individual,AP RECKLESSLY CRASHED INTO COMP'S VEH CASUING DAMAGE,,
222957-2018,OTHER OFFENSE - MISDEMEANOR,Government,THE AP WAS IN POSSESSION OF A GLASS PIPE WITH DRUG RESIDUE.,,
216537-2018,POSS MARIJUANA <2OZ,Society/Public,AP WAS IN POSSESSION OF 0.6GRAMS OF MARIJUANA,,
144619-2018,FRAUD USE/POSS IDENTIFYING INFO # ITEMS 10<50,Individual,AP POSSESSED 10 CREDIT CARDS/ID'S NOT BELONGING TO HIM,,
190481-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNK SUSP TOOK COMPS VEHICLE WITHOUT CONSENT,,
188291-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNK SUSP TOOK COMPS VEH WITHOUT PERMISSION,,
072787-2018,EVADING ARREST DETENTION,Society/Public,THE AP ATTEMPTED TO EVADE ARREST DETENTION,,
241603-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,A/P OPERATED STOLEN VEHICLE ON PUBLIC ROADWAY WITHOUT PERMISSION.,,
195021-2018,DISORDERLY CONDUCT DISCHARGE/DISPLAY FIREARM,Society/Public,AP DISPLAYED A FIREARM CAUSING ALARM,,
246372-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,SUSPECT TOOK COMP'S VEHICLE WITHOUT CONSENT,,
164466-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNKNOWN SUSPECT TOOK COMP'S VEHICLE WITHOUT CONSENT,,
102373-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,SUSPECT TOOK COMP'S VEHICLE WITH OUT PERMISSION.,,
049720-2021,APOWW (SOCIAL SERVICES REFERRAL),Government,APOWW,,
235381-2019,TAMPER W/IDENTIFICATION NUMBERS PERSONAL PROPERTY,Government,AP WAS IN POSS OF HANDGUN W/ SERIAL NUMBERS SCRATCHED OFF,,
108075-2018,BURGLARY OF BUILDING - FORCED ENTRY,Business,SUSP(S) ENTERED LOCATION AND TOOK PROPERTY.,,
121433-2018,UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,Individual,AP OPERATED VEH W/O CONSENT FROM COMP,,
164546-2018,TRAFFIC VIOLATION - HAZARDOUS,Society/Public,AP DROVE THE WRONG WAY DOWN A ONE-WAY STREET.,,
244694-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMP'S VEH WITHOUT CONSENT,,
257589-2018,PUBLIC INTOXICATION,Government,A/P WAS INTOXICATED IN PUBLIC,,
251401-2018,UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,Business,AP WAS FOUND TO BE DRIVING STOLEN VEHICLE,,
235381-2019,PUBLIC INTOXICATION,Society/Public,AP WAS INTOXICATED IN PUBLIC,,
268044-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Government,UNK SUSP TOOK COMPS VEH W/OUT CONSENT,,
060249-2018,"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",Business,UNK SUSP BROKE COMPS FENCE,,
221280-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Business,KNWN SUSP TOOK COMP'S VEH W/O CONSENT,,
052665-2018,UNLAWFUL POSS FIREARM BY FELON,Society/Public,"AP WAS FOUND TO BE IN POSSESION OF HANGUN, AP IS CONVICTED FELON",Handgun,
072775-2018,RESIST ARREST SEARCH OR TRANSPORT,Society/Public,THE AP INTENTIONALLY RESISTED AO'S ATTEMPTS TO ARREST HIM.,Other,UNK
052665-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNKNOWN SUSPECTS TOOK COMPS VEHICLE,,
254012-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,SUSPECT TOOK COMP'S VEHICLE W/O CONSENT.,,
079902-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK THE COMP VEHICLE WITHOUT PERMISSION,,
108463-2018,POSS CONT SUB PEN GRP 3 < 28G,Society/Public,"A/P WAS FOUND TO BE IN POSSESSION OF ALPRAXOLAM, XANAX.",,
152467-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMP'S VEH W/O CONSENT,,
221349-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,AP TOOK COMP'S VEHICLE WITHOUT CONSENT,,
277672-2017,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Government,RECOVERED STOLEN VEHICLE,Other,No
227544-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,A/P WAS IN POSSESION OF COMPS VEHICLE WITHOUT PERMISSION,,
245235-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,,UNK SUSP TOOK COMP'S VEH WITHOUT PERMISSION,,
276379-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,SUSP TOOK COMPS VEH WITHOUT PERMISSION,,
229979-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP STOLE VEHICLE FROM VALET LINE,,
058349-2021,PUBLIC INTOXICATION,Government,SUSPECT ARRESTED FOR BEING INTOXICATED IN PUBLIC.,,
013237-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,,UNK SUSPECT TOOK COMP VEH WITHOUT CONSENT,Other,No
066244-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,SUSP TOOK COMP'S VEH WITHOUT CONSENT.,,
